mileage_m,normal_force_N,penetration_m,rail_irregularity_m,iterations
2.549999999999998379e-01,7.581801686907809926e+04,4.218676707288107673e-05,1.495376000599692343e-05,1.100000000000000000e+01
2.574999999999998401e-01,7.590310198043502169e+04,4.221832329034709027e-05,1.489602685432389903e-05,9.000000000000000000e+00
2.599999999999997868e-01,7.572972101354325423e+04,4.215400757664872336e-05,1.481532510892707362e-05,1.000000000000000000e+01
2.624999999999997891e-01,7.530585905582505802e+04,4.199656882364819329e-05,1.471177920604846857e-05,1.100000000000000000e+01
2.649999999999997913e-01,7.464890587185205368e+04,4.175196589458886700e-05,1.458554880596516213e-05,1.200000000000000000e+01
2.674999999999997935e-01,7.378476515034284967e+04,4.142912531162814557e-05,1.443682854680472322e-05,1.200000000000000000e+01
2.699999999999997402e-01,7.274658490931925189e+04,4.103959233666497867e-05,1.426584774442732329e-05,1.300000000000000000e+01
2.724999999999997424e-01,7.157320089411103982e+04,4.059709189704690212e-05,1.407287003883728225e-05,1.400000000000000000e+01
2.749999999999997446e-01,7.030740092703845585e+04,4.011701957186993136e-05,1.385819298766932608e-05,1.400000000000000000e+01
2.774999999999996914e-01,6.899412282212419086e+04,3.961588506112849104e-05,1.362214760737625203e-05,1.400000000000000000e+01
2.799999999999996936e-01,6.767869176001990854e+04,3.911073113685564480e-05,1.336509786282555158e-05,1.300000000000000000e+01
2.824999999999996958e-01,6.640518793836457189e+04,3.861855071265054651e-05,1.308744010609199524e-05,1.300000000000000000e+01
2.849999999999996425e-01,6.521501176692127046e+04,3.815572259295070155e-05,1.278960246531142973e-05,1.200000000000000000e+01
2.874999999999996447e-01,6.414568910804554616e+04,3.773748453239242036e-05,1.247204418453822544e-05,1.200000000000000000e+01
2.899999999999996469e-01,6.322993059983993589e+04,3.737745850974595667e-05,1.213525491562426384e-05,1.200000000000000000e+01
2.924999999999995937e-01,6.249493560285805142e+04,3.708723998789325205e-05,1.177975396321123417e-05,1.100000000000000000e+01
2.949999999999995959e-01,6.196191521521695540e+04,3.687606060694204258e-05,1.140608948400052550e-05,1.100000000000000000e+01
2.974999999999995981e-01,6.164579455070453696e+04,3.675052952244626869e-05,1.101483764153535070e-05,1.000000000000000000e+01
2.999999999999996003e-01,6.155505559793510474e+04,3.671445760325306147e-05,1.060660171779827985e-05,9.000000000000000000e+00
3.024999999999995470e-01,6.169168616804279736e+04,3.676876631177281729e-05,1.018201118299420937e-05,9.000000000000000000e+00
3.049999999999995492e-01,6.205120739058835898e+04,3.691147971143915728e-05,9.741720724952836305e-06,1.100000000000000000e+01
3.074999999999995515e-01,6.262277818951199151e+04,3.713780103042553000e-05,9.286409239647593842e-06,1.100000000000000000e+01
3.099999999999994982e-01,6.338938319342203613e+04,3.744027085719183953e-05,8.816778784387194990e-06,1.200000000000000000e+01
3.124999999999995004e-01,6.432812758892920829e+04,3.780900412098620272e-05,8.333553495294137803e-06,1.200000000000000000e+01
3.149999999999995026e-01,6.541066966039158433e+04,3.823200094352951139e-05,7.837478470739336905e-06,1.200000000000000000e+01
3.174999999999994493e-01,6.660382435560210433e+04,3.869552493199603858e-05,7.329318622454439388e-06,1.300000000000000000e+01
3.199999999999994515e-01,6.787036679345973243e+04,3.918454084379762706e-05,6.809857496093322480e-06,1.300000000000000000e+01
3.224999999999994538e-01,6.917004972846647433e+04,3.968320037501788086e-05,6.279896063061541619e-06,1.400000000000000000e+01
3.249999999999994005e-01,7.046083117960282834e+04,4.017536267486966297e-05,5.740251485476477209e-06,1.400000000000000000e+01
3.274999999999994027e-01,7.170028545532349381e+04,4.064513351002616281e-05,5.191755856162530329e-06,1.300000000000000000e+01
3.299999999999994049e-01,7.284714729970620829e+04,4.107740478058352938e-05,4.635254915624345808e-06,1.300000000000000000e+01
3.324999999999993516e-01,7.386291891510048299e+04,4.145837498832490541e-05,4.071606747976259814e-06,1.200000000000000000e+01
3.349999999999993539e-01,7.471345231465646066e+04,4.177603012455743145e-05,3.501680457838732041e-06,1.200000000000000000e+01
3.374999999999993561e-01,7.537041253537706507e+04,4.202056551753496888e-05,2.926354830242073010e-06,1.200000000000000000e+01
3.399999999999993028e-01,7.581252727709226019e+04,4.218473069733544387e-05,2.346516975603629304e-06,1.100000000000000000e+01
3.424999999999993050e-01,7.602653722253427259e+04,4.226408178510389054e-05,1.763060961867728561e-06,1.000000000000000000e+01
3.449999999999993072e-01,7.600777972065690847e+04,4.225712981609394231e-05,1.176886435917841868e-06,8.000000000000000000e+00
3.474999999999993094e-01,7.576036733060848201e+04,4.216537940396751266e-05,5.888972363861939966e-07,1.000000000000000000e+01
3.499999999999992562e-01,7.529694813287154830e+04,4.199325579617536810e-05,1.816931001879963939e-19,1.100000000000000000e+01
3.524999999999992584e-01,7.620331734123181377e+04,4.232957257439394510e-05,0.000000000000000000e+00,1.200000000000000000e+01
3.549999999999992606e-01,7.688050594906538026e+04,4.257998000407195932e-05,0.000000000000000000e+00,1.100000000000000000e+01
3.574999999999992073e-01,7.730897552513041592e+04,4.273803759553966743e-05,0.000000000000000000e+00,1.100000000000000000e+01
3.599999999999992095e-01,7.747467526068605366e+04,4.279908401470620412e-05,0.000000000000000000e+00,1.000000000000000000e+01
